# TN = True negative, FN = false negative, complete = method detected the entire range of the symmetric repeats, partial = method detected only part of the repeats
Fold-Abbreviation	Fold-Name	PDB	Resolution	Secondary-Structure-Composition	TM-Chains	Structurally-Unique-Chains	Order	Repeat-Topology	Closed/Open-Symmetry-Group	Internal/Quaternary	Described	Repeats	Interdigitating	Structure-Title	Reference	CE-Symm	EncoMPASS	SymD-8	AnAnaS	QuatSymm
Asp Proteases	Aspartate Proteases	4hyg	3.32	alpha	A;B;C;D	A	4	Parallel	Closed	Quaternary	Yes	(A_7-293,B_7-293,C_7-293,D_7-293)	No	Intramembrane aspartate protease	[2]	complete	complete	complete	complete	complete
BcsA	Subunit A of the cellulose synthesis and translocation systems	4hg6	3.25	alpha	A;B	A;B	None	None	None	None	Yes	None	None	Complex of BcsA and BcsB	[8]	TN	TN	TN	TN	TN
AMPAR	α-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor	4u1w	3.25	alpha	A;B;C;D	A	2;4	Parallel; Parallel	Closed;Closed	Quaternary;Quaternary	Yes;Yes	(A_8-813,C_8-815)(B_9-817,D_8-816);(A_513-543,B_513-543,C_513-543,D_513-543)(A_597-630,B_597-630,C_597-630,D_597-630)(A_789-811,B_789-811,C_789-811,D_789-811)	No;No	AMPA receptor GluA2	[9]	FN;FN	FN;FN	partial;FN	complete;FN	complete;FN
Class C GPCR	Class C GPCR	4or2	2.8	alpha	A;B	A	2	Parallel	Closed	Quaternary	Yes	(A_581-843,B_581-843)	No	Class C GPCR metabotropic glutamate receptor 1	[10]	complete	complete	complete	complete	complete
Complex III	Cytochrome bc1	1bcc	2.7	alpha	C;D;E;G;J;M;N;O;Q;S	C;D;J	2	Parallel	Closed	Quaternary	Yes	(C_2-380,M_2-380)(D_1-241,N_1-241)(E_1-196,O_1-196)(G_2-79,Q_2-79)(J_4-62,S_4-62)	No	Cytochrome bc1	[11]	complete	complete	complete	complete	complete
Complex IV	Cytochrome c oxidase	1occ	2.8	alpha	A;B;C;D;G;I;J;K;L;M;N;O;P;Q;T;V;W;X;Y;Z	A;B;C;D;G;I;J;K;L;M;P	2	Parallel	Closed	Quaternary	Yes	(A_2-514,N_2-514)(B_1-227,O_1-227)(C_1-261,P_1-261)(D_4-147,Q_4-147)(G_1-84,T_1-84)(I_1-73,V_1-73)(J_1-56,W_1-56)(K_6-54,X_6-54)(L_1-47,Y_1-47)(M_1-43,Z_1-43)	No	Bacterial cytochrome c oxidase	[12]	FN	complete	complete	complete	complete
Glycophorin A	Glycophorin A	5eh4	2.81	alpha	A;B		2	Parallel	Closed	Quaternary	Yes	(A_70-98,B_70-98)	No	Glycophorin A	[13]	complete	FN	FN	complete	complete
PS-II	Photosystem II	4pj0	2.437	alpha	A;B;C;D;E;F;H;I;J;K;L;M;R;T;X;Y;Z;a;b;c;d;e;f;h;i;j;k;l;m;r;t;x;y;z	A;B;E;F;H;I;K;L;R;T;Y;Z;m	2	Parallel	Closed	Quaternary	Yes	(A_12-344,a_12-344)(B_2-506,b_2-506)(C_26-473,c_26-473)(D_13-352,d_13-352)(E_3-83,e_3-83)(F_13-45,f_13-45)(H_2-64,h_2-64)(I_1-33,i_1-33)(J_7-40,j_7-40)(K_11-46,k_11-46)(L_2-37,l_2-37)(M_1-32,m_1-32)(T_1-29,t_1-29)(Y_18-46,y_18-46)(X_2-38,x_2-38)(Z_1-62,z_1-62)	No	T.elongatus Photosystem II	[14-16]	complete	complete	complete	complete	complete
ABC export	ABC export	2hyd	3.0	alpha	A;B	A	2	Parallel	Closed	Quaternary	Yes	(A_1-578,B_1-578)	No	Multidrug ABC transporter SAV1866	[17]	complete	complete	complete	complete	complete
ABC import I	ABC import I	2onk	3.1	alpha	C;D	C	2	Parallel	Closed	Quaternary	Yes	(C_1-252,D_1-252)	No	Molybdate transporter ModBC	[19]	complete	complete	complete	complete	complete
ABC import I	ABC import I	2r6g	2.8	alpha	F;G	F	2	Parallel	Closed	Quaternary	Yes	(F_255-504,G_42-280)	No	Maltose transporter	[14,20]	complete	complete	complete	FN	FN
ABC import II	ABC import II	1l7v	3.2	alpha	A;B	A	2	Parallel	Closed	Quaternary	Yes	(A_1-324,B_1-324)	No	BtuCD transporter	[21,22]	partial	complete	complete	complete	complete
SR-II	Sensory rhodopsin II	1h2s	1.93	alpha	A;B;C;D	A;B	2	Parallel	Closed	Quaternary	Yes	(A_1-225,C_1-225)(B_23-82,D_23-82)	No	Sensory rhodopsin II transducer complex	[23]	complete	complete	complete	complete	complete
CDF	Cation diffusion facilitator	3h90	2.9	alpha	A;C	A	2	Parallel	Closed	Quaternary	Yes	(A_8-290,C_8-290)	No	Zinc transporter YiiP	[24]	partial	complete	complete	complete	complete
SemiSWEET	SemiSWEET	4qnc	2.39	alpha	A;B	A	2	Parallel	Closed	Quaternary	Yes	(A_1-81,B_1-81)	No	SemiSWEET	[25]	complete	complete	complete	complete	complete
APC	Amino acid/polyamine/organocation superfamily	3ncy	3.2	alpha	A;B	A	2	Parallel	Closed	Quaternary	Yes	(A_10-440,B_10-440)	No	Arginine agmatine antiporter (AdiC)	[26]	partial	complete	complete	complete	complete
CLC	Chloride channel family	1ots	2.51	alpha	A;B	A	2	Parallel	Closed	Quaternary	Yes	(A_18-458,B_18-458)	No	Chloride channel	[28]	partial	complete	FN	complete	complete
DASS	Divalent anion:Na+ symporter	4f35	3.2	alpha	C;D	C	2	Parallel	Closed	Quaternary	Yes	(D_19-462,C_19-462)	No	Dicarboxylate/sodium symporter	[29]	partial	complete	complete	complete	complete
EIIC	Subunit C of the phosphoenolpyruvate-carbohydrate phosphotransferase transport system	3qnq	3.3	alpha	A;B	A	2	Parallel	Closed	Quaternary	Yes	(A_3-434,B_3-434)	No	Phosphorylation-coupled saccharide transporter ChbC	[30]	complete	complete	complete	complete	complete
MgtE	Mg2+ channels	2yvx	3.5	alpha	A;B	A	2	Parallel	Closed	Quaternary	Yes	(A_7-448,B_7-448)	No	magnesium transporter MgtE	[31]	complete	complete	complete	complete	complete
Complex II (SQR)	Complex II (SQR)	1zoy	2.4	alpha	C;D	C;D	2	Parallel	Closed	Quaternary	Yes	(C_34-143,D_35-119)	No	Complex II	[32]	complete	complete	FN	complete	FN
NMDAR	N -Methyl-d-Aspartate receptor	4pe5	3.96	alpha	A;B;C;D	A	2;4	Parallel;Parallel	Closed;Closed	Quaternary;Quaternary	Yes;Yes	(A_25-830,C_25-830)(B_30-833,D_32-838);(A_558-582,B_551-569,C_558-582,D_550-567)(A_605-616,B_602-615,C_605-616,D_602-614)(A_629-656,B_630-657,C_634-657,D_630-657)(A_809-830,B_821-841,C_809-833,D_821-838)	No;No	GluN1a/GluN2B NMDA receptor ion channel	[33]	complete;FN	complete;FN	complete;FN	complete;FN	complete;FN
PRC	Photosynthetic reaction center	1prc	2.3	alpha	H;L;M		2	Parallel	Closed	Quaternary	Yes	(L_29-263,M_49-296)	No	Photosynthetic reaction center	[34]	complete	complete	complete	FN	FN
SWEET	SWEET	4qtn	2.8	alpha	A;B;C	A	3	Parallel	Closed	Quaternary	Yes	(A_2-236,B_2-236,C_2-236)	No	Vitamin B3 transporter PnuC	[37]	partial	complete	complete	complete	complete
RND	Resistance-nodulation-cell division transporter	4dx5	1.8	alpha	A;B;C	A	3	Parallel	Closed	Quaternary	Yes	(A_1-1044,B_1-1033,C_1-1033)	No	Multidrug transporter AcrB	[38]	FN	complete	complete	complete	complete
SMR	Small multidrug resistance	3b5d	3.8	alpha	A;B	A	2	Antiparallel	Closed	Quaternary	Yes	(A_6-105,B_4-102)	No	EmrE	[39]	complete	complete	FN	complete	FN
