# TN = True negative, FN = false negative, complete = method detected the entire range of the symmetric repeats, partial = method detected only part of the repeats
Fold-Abbreviation	Fold-Name	PDB	Resolution	Secondary-Structure-Composition	TM-Chains	Structurally-Unique-Chains	Order	Repeat-Topology	Closed/Open-Symmetry-Group	Internal/Quaternary	Described	Repeats	Interdigitating	Structure-Title	Reference	CE-Symm	EncoMPASS	SymD-10	AnAnaS	BioJava
OST	Oligosaccharyl transferase	3rce_A	3.4	alpha	A	A	None	None	None	None	Yes	None	None	Bacterial oligosaccharyltransferase PglB	[1]	TN	TN	TN	-	-
Asp Proteases	Aspartate Proteases	4hyg_A	3.32	alpha	A;B;C;D	A	None	None	None	None	None	None	None	Intramembrane aspartate protease	[2]	TN	TN	TN	-	-
Glu Proteases	Glutamate Proteases	4cad_C	2.5	alpha	C	C	None	None	None	None	Yes	None	None	Integral membrane protease Rce1	[3]	TN	TN	TN	-	-
Ser Proteases	Serine Proteases	2nr9_A	2.2	alpha	A	A	None	None	None	None	Yes	None	None	Protease GlpG	[4]	TN	TN	TN	-	-
TatC	Twin-arginine protein transport component	4b4a_A	3.5	alpha	A	A	None	None	None	None	Yes	None	None	Tatc Core of the Twin-Arginine Protein Transport System	[5]	TN	TN	TN	-	-
YidC	Sec-independent membrane protein insertion chaperone	3wo7_A	3.2	alpha	A	A	None	None	None	None	Yes	None	None	YidC	[6]	TN	TN	TN	-	-
P-type ATPase	P-type ATPase	1su4_A	2.4	alpha	A	A	None	None	None	None	Yes	None	None	Sarcolipin-bound calcium pump	[7]	TN	TN	TN	-	-
BcsA	Subunit A of the cellulose synthesis and translocation systems	4hg6_A	3.25	alpha	A;B	A;B	None	None	None	None	Yes	None	None	Complex of BcsA and BcsB	[8]	TN	TN	TN	-	-
BcsA	Subunit A of the cellulose synthesis and translocation systems	4hg6_B	3.25	alpha	A;B	A;B	None	None	None	None	Yes	None	None	Complex of BcsA and BcsB	[8]	TN	TN	TN	-	-
AMPAR	α-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor	4u1w_A	3.25	alpha	A;B;C;D	A	None	None	None	None	None	None	None	AMPA receptor GluA2	[9]	TN	TN	TN	-	-
Class C GPCR	Class C GPCR	4or2_A	2.8	alpha	A;B	A	2	Parallel	Closed	Internal	No	(A_583-687,A_744-840)	No	Class C GPCR metabotropic glutamate receptor 1	[10]	FN	FN	FN	-	-
Complex III	Cytochrome bc1	1bcc_C	2.7	alpha	C;D;E;G;J;M;N;O;Q;S	C;D;J	2	Parallel	Closed	Internal	No	(C_30-108,C_112-206)	No	Cytochrome bc1	[11]	FN	complete	FN	-	-
Complex III	Cytochrome bc1	1bcc_D	2.7	alpha	C;D;E;G;J;M;N;O;Q;S	C;D;J	None	None	None	None	None	None	None	Cytochrome bc1	[11]	TN	TN	TN	-	-
Complex III	Cytochrome bc1	1bcc_J	2.7	alpha	C;D;E;G;J;M;N;O;Q;S	C;D;J	None	None	None	None	None	None	None	Cytochrome bc1	[11]	TN	TN	TN	-	-
Complex IV	Cytochrome c oxidase	1occ_A	2.8	alpha	A;B;C;D;G;I;J;K;L;M;N;O;P;Q;T;V;W;X;Y;Z	A;B;C;D;G;I;J;K;L;M;P	3	Parallel	Closed	Internal	Yes	(A_13-173,A_180-327,A_334-481)	No	Bacterial cytochrome c oxidase	[12]	complete	complete	complete	-	-
